N,P,K,temperature,humidity,ph,rainfall,label
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,1
99,36,20,20.57981887,65.34583901,6.671085817,78.34604471,1
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,1
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,1
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,1
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,1
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,1
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,1
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,1
66,44,20,19.0781471,69.02298571,6.740000688,80.72515943,1
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,1
79,45,20,23.80546189,59.24537979,5.715208817,89.9622014,1
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,1
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,1
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,1
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,1
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,1
81,45,23,19.32666088,68.034493,6.192360003,84.22969177,1
73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,1
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,1
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,1
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,1
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,1
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,1
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,1
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,1
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,1
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,1
63,42,21,23.26237612,72.33125523,5.798423908,67.10225139,1
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,1
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,1
60,57,24,18.66116213,61.55327249,6.121294041,75.03247667,1
71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,1
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,1
88,38,15,25.08239719,65.92195844,6.455116637,62.49190812,1
65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,1
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,1
78,58,15,25.00933355,67.816568,6.528631266,62.91359494,1
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,1
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,1
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,1
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,1
87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,1
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,1
67,35,22,23.30546753,63.24648023,6.385684214,108.7603001,1
60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,1
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,1
23,72,84,19.02061277,17.13159126,6.920251378,79.92698081,2
39,58,85,17.88776475,15.40589717,5.996932037,68.54932919,2
22,72,85,18.86805647,15.65809214,6.391173589,88.51048983,2
36,67,77,18.36952567,19.56381041,7.152811172,79.26357665,2
32,73,81,20.45078582,15.40312102,5.988992796,92.68373702,2
58,70,84,20.6543203,16.60820843,6.231049028,74.6631118,2
59,70,84,17.3348681,18.74926979,7.550808267,82.61734721,2
28,74,81,18.01272266,18.30968112,8.753795334,81.98568791,2
43,66,79,19.46233971,15.22538951,7.976607593,74.58565097,2
58,63,81,19.81344531,14.69765308,6.515499549,78.96514709,2
23,62,85,18.97424756,19.5161216,8.490127142,80.7108745,2
27,62,77,18.19737048,14.71070537,6.576415562,70.18185181,2
28,72,84,18.72963144,19.18197264,6.481783043,71.58010169,2
50,56,76,20.99502153,19.8601304,7.966605025,73.50734019,2
31,70,77,20.88818675,14.32313811,6.492546046,90.46228334,2
26,80,83,17.08498521,16.14565756,7.528599957,71.31007253,2
31,78,76,17.57212145,14.99927489,8.519975748,89.31050665,2
60,68,83,19.12065218,18.43475844,6.620900869,85.52950164,2
59,62,83,18.57665902,19.22008229,8.104396058,72.94940441,2
22,67,78,17.16606398,14.42457525,6.204090835,72.32667516,2
36,65,80,18.2872007,16.67921616,6.051091339,74.87445574,2
59,60,84,19.03025305,18.66725565,7.690962338,94.70992037,2
54,77,85,17.1418614,17.0662427,7.829211144,83.74606679,2
43,68,81,17.47809436,17.93253975,6.761599706,78.92060234,2
42,79,85,17.22385224,15.82069268,6.129533877,76.57580954,2
32,60,83,19.69141713,19.44225438,8.829273328,91.76071648,2
22,78,76,17.84851658,19.09172907,8.621662982,76.32470713,2
31,79,75,18.8202251,16.1074793,8.204862075,89.73119396,2
28,58,81,17.47500984,16.54314829,6.18042747,93.35034262,2
57,58,77,18.72649425,17.58406365,7.978996755,81.20176515,2
49,55,78,18.65580107,16.17772668,7.863113671,81.70769297,2
46,76,77,18.2356751,19.68538502,6.967843048,83.74879344,2
38,60,76,18.65054116,17.80852431,8.868741443,77.92798682,2
59,55,79,20.36720401,16.89574311,8.766128654,82.2545577,2
36,76,75,18.38120357,16.63805158,8.736337905,70.52056697,2
57,68,81,17.17012591,17.30457712,8.081095263,72.78624223,2
35,66,81,19.37101121,15.77458129,6.138243973,85.24819851,2
35,64,78,17.92845928,14.27327988,7.496645259,85.37378769,2
52,60,79,19.45339934,18.23490739,8.380185271,75.6317566,2
57,60,84,19.1034283,17.26184541,6.586777189,75.49101167,2
52,68,78,17.48504075,16.96070581,6.89655198,86.05078037,2
43,79,79,19.40751744,18.98030507,7.806747656,80.25064637,2
24,55,78,17.30287885,15.15405941,6.64919573,75.57790384,2
29,77,75,17.50361137,15.48083156,7.778591618,72.9446671,2
20,60,78,18.17234999,14.70085967,6.358740355,90.7760707,2
56,67,78,17.57445618,16.71826572,8.255450758,77.81891424,2
37,66,85,20.93175255,18.91295403,6.456148474,78.06910795,2
59,69,80,19.07937684,17.86754927,8.165359297,69.40619137,2
24,56,85,18.19903647,17.41333199,6.545888558,80.6405403,2
51,72,75,18.88852533,14.99451145,7.104224797,80.1113384,2
57,73,85,18.49311205,14.72115044,7.358099622,91.94595352,2
22,64,82,19.48974337,17.17260319,6.4740245,87.51312796,2
52,73,79,17.25769499,18.74943955,7.840339389,94.00287214,2
44,59,78,20.67526473,19.85388984,7.599033472,84.78344008,2
41,69,82,20.02381489,16.63294455,6.715587232,68.97806542,2
52,56,85,20.1187446,14.44228303,6.81712422,88.68168643,2
34,76,80,20.65691793,15.84572566,7.985417393,65.23811143,2
42,74,83,19.2582557,14.2804191,7.545258424,65.78042032,2
34,71,79,17.927806,15.85622899,7.728998197,74.63872762,2
27,73,79,19.16288268,15.83500655,7.354973451,82.69766829,2
27,79,82,17.06579293,17.54024066,6.307004923,70.87150577,2
32,71,85,20.62767492,14.44008871,6.403982316,92.06630306,2
31,76,82,20.8248451,17.85057083,7.599279991,79.20509212,2
47,80,77,17.18248372,16.42891834,7.561108006,72.85017344,2
54,62,80,17.48911699,16.39055394,7.489545074,79.45758333,2
47,79,78,17.48395377,14.76014523,6.609696734,65.11365631,2
35,57,83,19.48316794,17.44534641,7.476800943,80.4986291,2
53,73,77,19.71359733,18.09665739,7.325451279,73.64476535,2
45,61,78,19.48649305,16.06240074,6.489389282,81.5284269,2
37,78,79,19.95264829,14.82633099,7.786366322,88.6810311,2
37,55,82,19.45591848,18.02235902,8.423873703,78.44910564,2
53,65,76,20.19137759,16.41998269,8.719960893,77.33795356,2
22,60,85,18.8392908,14.74071856,7.811997977,94.78189594,2
39,76,76,19.96837462,15.57324389,8.135900726,69.15759062,2
30,65,82,20.71424384,15.27824066,7.103798069,76.77888672,2
57,56,78,17.34150229,18.75626255,8.861479668,67.9545435,2
48,65,78,17.43732714,14.33847406,7.861128148,73.0926704,2
36,56,83,18.89780215,19.76182946,7.4526709,69.09512477,2
40,58,75,18.59190771,14.77959596,7.168096055,89.60982451,2
49,69,82,18.31561493,15.36143547,7.26311855,81.78710463,2
13,60,25,17.13692774,20.59541693,5.68597166,128.256862,3
25,70,16,19.63474332,18.90705639,5.759237003,106.3598183,3
31,55,22,22.91350245,21.33953114,5.873171894,109.225556,3
40,64,16,16.43340342,24.24045875,5.926676985,140.3717815,3
2,61,20,22.13974653,23.02251117,5.95561668,76.64128258,3
26,65,22,17.84806561,18.77621951,5.949949081,143.0984171,3
17,57,21,19.88394011,20.31564139,5.789214289,60.91974792,3
26,80,18,19.32509638,23.3334788,5.581021521,104.7783947,3
17,59,17,18.4167001,23.42829938,5.689858133,132.9801054,3
27,59,22,21.81167649,23.20591245,5.794158504,130.0608093,3
28,58,24,19.72702528,18.28173015,5.748190463,143.7630894,3
28,80,17,19.62207826,18.67170854,5.809419584,144.1567454,3
12,78,23,16.06522754,18.72479695,5.99812453,88.06638775,3
22,79,17,21.42451099,20.39659714,5.912289889,116.5206923,3
27,80,15,19.07096165,21.21092266,5.788386951,86.21917578,3
10,55,23,21.18853178,19.63438599,5.728233081,137.1948633,3
23,65,20,23.0429097,22.42610972,5.833940084,108.3684316,3
19,78,16,20.65375833,23.10538637,5.967533236,67.71768947,3
19,65,25,18.09551014,18.29318436,5.625096446,144.7902323,3
11,71,17,19.9191786,21.47324158,5.74644777,82.68554379,3
18,79,20,20.27514686,23.2353604,5.877347515,139.7521543,3
34,60,22,17.66148158,18.15302753,5.635231778,100.6711761,3
16,75,21,18.50692825,23.61670065,5.679224346,87.0513289,3
17,77,23,24.51324787,20.81527638,5.670062975,64.19497947,3
37,72,18,18.87614998,24.54038287,5.724242065,105.4120514,3
40,73,20,21.59343016,20.31871249,5.811314232,61.13872036,3
9,77,17,20.12373284,24.45202552,5.783425416,106.158201,3
1,62,23,15.43546065,18.37477907,5.607808432,139.0302034,3
23,59,19,21.98560799,24.87304788,5.852046999,129.5650601,3
6,62,22,20.53052663,18.09224048,5.824090984,120.4509288,3
25,63,20,15.78601387,21.14544088,5.502999119,95.17028129,3
7,79,23,19.6365349,19.68751084,5.821649914,96.65888933,3
8,72,17,20.57341244,19.7520218,5.711439256,87.87869161,3
28,66,23,21.53989176,24.25386207,5.99616119,120.6913038,3
32,57,18,15.53834801,23.75560241,5.695422863,107.3850593,3
13,72,21,24.32116642,21.0278674,5.821194486,60.27552528,3
34,60,23,20.12574053,24.96969858,5.659254981,100.0497183,3
9,80,19,21.80619564,18.57086554,5.945465949,125.0972687,3
11,72,20,19.52226241,24.92607153,5.951177452,113.334026,3
35,69,23,16.78791503,24.96881755,5.578410206,75.45328039,3
23,62,19,16.51783455,20.4555596,5.609435128,98.77794225,3
22,71,17,18.15300153,19.38602098,5.509295379,107.6907964,3
31,79,25,23.18864385,22.3104551,5.902033406,63.38208822,3
34,59,18,23.38002569,21.98879437,5.744117663,87.66898664,3
12,63,17,18.358923,19.37703396,5.717143397,138.414764,3
27,56,20,19.25975367,20.51346956,5.542690119,94.9533526,3
11,71,24,21.14011423,22.7182355,5.606620346,141.6056722,3
37,74,15,24.92360104,18.22590825,5.582178402,62.7089169,3
25,76,24,15.33042636,24.91506728,5.56503533,135.3315583,3
34,66,17,18.81097271,21.27833035,5.889614577,125.084915,3
20,69,15,23.44260668,22.77255917,5.934136378,107.4137246,3
18,74,15,24.9035819,22.27512704,5.70836603,146.4727237,3
37,56,25,22.05592283,19.60379304,5.774755144,126.7265372,3
5,59,15,18.87492997,20.18238348,5.97229163,134.1811718,3
11,61,21,18.62328774,23.02410338,5.532100554,135.3378033,3
22,80,20,23.00884744,18.86880997,5.669560726,100.118612,3
12,61,19,19.33162606,24.13995025,5.655726817,68.51253427,3
5,74,21,16.24469193,21.35793891,5.591704014,66.97053257,3
27,69,22,17.91652287,24.90814655,5.932323085,69.14681022,3
31,75,18,15.46789263,21.43780702,5.824208309,88.88796102,3
36,68,20,17.06104474,23.77201471,5.86442953,81.83420522,3
32,79,15,23.90910104,20.74619325,5.706198621,81.60211243,3
11,78,22,23.89756791,22.74378977,5.940546818,112.6616435,3
0,55,22,22.98666928,20.57940608,5.916779289,143.8584938,3
29,68,23,24.1638445,19.27907819,5.82738029,116.7324324,3
17,64,17,21.02213209,24.93896255,5.662699104,124.6118471,3
14,67,22,23.82576704,24.75485098,5.624690248,84.64143632,3
9,69,20,19.30607278,23.96362799,5.591560999,129.3449326,3
20,73,22,16.03768615,22.33195853,5.976312538,130.3900798,3
40,78,20,19.18572809,20.83398341,5.669236258,80.15293435,3
27,72,23,19.92889503,21.79992115,5.961934481,64.02640797,3
14,67,15,19.56376468,24.67385131,5.690065688,139.2921004,3
7,56,18,18.31357543,24.32991649,5.698371311,76.14153904,3
27,65,18,20.10993761,23.22323766,5.59503163,73.36386477,3
37,70,25,19.73136909,24.89487354,5.819403771,84.06354115,3
27,63,19,20.93409877,21.1893007,5.562201934,133.1914419,3
3,72,24,36.51268371,57.92887167,6.03160778,122.6539694,4
40,59,23,36.89163721,62.73178224,5.269084669,163.7266551,4
33,73,23,29.23540524,59.38967583,5.985792703,103.3301803,4
27,57,24,27.33534897,43.35795962,6.09186275,142.3303677,4
10,79,18,21.0643684,55.46985938,5.624731338,184.6226709,4
30,75,25,30.33276599,42.35249879,6.446091759,149.299952,4
40,70,20,31.80130272,45.03186173,5.623490043,147.0361442,4
16,56,17,33.80020039,40.03262418,7.445444883,176.6165894,4
31,72,17,28.69180475,49.47225353,5.833031708,96.36222901,4
16,80,20,31.24021696,56.67369054,7.339320929,122.0146733,4
27,72,17,28.98039357,57.23265151,6.347929353,120.7435664,4
40,62,19,27.32198928,34.13737127,4.697750704,96.51524028,4
18,58,16,21.47607807,38.80023714,4.962661422,180.382234,4
3,68,16,18.31910448,34.69776639,4.964887857,107.4721605,4
26,67,24,36.97794384,37.73992903,5.642813116,161.4812963,4
16,70,20,24.80467592,40.1242747,5.6093956,121.5639121,4
24,63,19,19.3479443,55.96805489,4.681576043,194.5921148,4
9,76,25,28.88302142,50.12323801,5.70951224,179.2155874,4
16,55,19,19.54314136,47.19188279,6.413543781,192.4372194,4
24,70,21,19.14729038,45.3733757,5.517208078,132.7748215,4
38,72,21,28.23416057,49.4421345,5.902103172,186.5008581,4
9,66,21,30.11812084,34.13307843,5.719889876,157.0858232,4
34,56,17,33.4126864,35.42910045,4.548202098,139.6702541,4
1,76,19,24.18553163,46.68746847,6.669529416,177.3377996,4
6,69,19,26.88630675,41.69617915,4.750929218,94.46748008,4
27,61,18,33.30711818,67.07780816,5.266227032,108.5090168,4
36,61,21,34.53823889,39.04468913,5.617008201,168.5948318,4
17,73,18,19.50112224,34.51086611,5.632353113,197.3752649,4
26,72,22,28.76794904,37.57792132,4.674941549,91.72084869,4
17,64,16,30.97758716,32.24914235,7.161797643,180.716828,4
39,60,15,35.09357419,30.98685456,5.004074624,116.9106908,4
6,66,15,34.93174223,30.40046769,6.345806011,159.2649827,4
8,59,18,29.50523036,35.72032498,6.216814453,187.8961851,4
2,67,18,34.51934775,47.52980027,5.921666758,129.0064612,4
1,76,17,28.43430726,52.10010827,6.012719118,147.0414824,4
16,73,19,18.41645629,34.80541039,4.684079249,163.2747473,4
23,75,25,31.07508973,47.19847683,7.077170002,91.31256412,4
32,70,20,20.89342749,46.24856523,6.208843215,195.5697875,4
5,62,23,27.9348279,66.45457122,4.722222454,145.3728801,4
36,67,25,35.95176642,36.52780776,6.418062652,136.0456753,4
17,67,18,31.2192752,56.46868874,5.611510977,129.2028653,4
5,55,18,33.50876355,45.70976142,7.322097972,126.6738117,4
5,56,24,24.80710166,45.01110015,5.023115055,188.4928637,4
37,77,17,36.20970524,31.94550613,5.617122801,191.0658531,4
13,73,20,30.50420876,35.48885969,5.391560418,162.5927723,4
16,77,22,31.48469278,35.6395615,6.574209678,100.546816,4
20,77,23,34.87248659,38.83786012,5.180271502,148.2502786,4
35,80,25,28.09269012,44.93322042,4.895927306,197.1144011,4
14,75,24,24.54757829,57.3414485,6.436160044,118.3606557,4
36,80,21,33.64769646,48.41490082,7.066087261,100.4673278,4
7,77,18,20.5591255,60.54880693,6.655918078,191.0895109,4
20,74,16,36.04353699,43.61444121,4.759490199,159.8938645,4
19,57,23,23.6734328,47.2879691,7.342409555,141.1250722,4
3,60,19,25.74679443,40.7192594,4.820788186,100.7791633,4
5,77,19,31.08564994,66.68832981,6.242052013,175.9303271,4
5,68,20,18.72987676,61.33186249,5.001038726,139.8710041,4
37,73,21,29.50304807,63.46513414,5.560224583,189.5208915,4
20,72,15,36.00415838,56.01334416,7.313517308,134.8596466,4
0,70,21,36.30049702,56.03021253,4.672437054,101.6073988,4
13,67,18,30.5753044,34.75591197,5.384762927,177.5764304,4
27,74,20,24.69487673,59.96669215,5.859813416,91.95792434,4
29,72,24,23.17409556,36.67847052,6.962386495,162.5931264,4
39,57,19,29.32379604,45.93248374,6.421748487,165.4113371,4
18,55,23,21.9989826,56.31006755,6.98571967,136.8274312,4
39,77,21,22.99774444,60.24218572,4.603563116,159.689339,4
13,75,20,30.55992394,35.29006485,6.979540061,178.8998611,4
27,71,24,31.46417866,48.17631461,7.064973419,165.405354,4
26,64,22,25.95058595,40.58227261,5.16516459,109.1821183,4
23,55,16,21.01142393,69.69141302,5.111488821,185.2039114,4
20,67,19,19.24462755,50.54495302,5.671419084,180.6465282,4
7,74,17,22.47253208,62.56532471,5.667419697,96.74706956,4
17,64,18,36.75087487,58.25799145,6.07938452,124.6028153,4
35,71,17,29.89286629,66.35375127,6.931924963,198.1403003,4
11,72,22,29.37735586,44.82294584,6.842744374,172.40168,4
20,60,22,29.65052947,42.89833235,6.876572503,186.9226052,4
10,71,18,19.54284889,66.34777265,6.151029296,173.1106982,4
3,49,18,27.91095209,64.70930606,3.692863601,32.67891866,5
22,59,23,27.32220619,51.27868781,4.371745575,36.5037914,5
36,58,25,28.66024187,59.3189118,8.399135958,36.92629678,5
29,54,16,27.78031515,54.65030015,8.153022903,32.05025323,5
32,43,22,31.99928579,54.1077461,5.270749441,71.6266696,5
14,55,15,27.33580911,55.27755933,8.050304395,73.44775287,5
5,35,20,28.92952635,53.57014709,9.679240873,66.35634104,5
25,57,24,27.65472156,58.59986279,6.974978386,36.94255012,5
40,49,17,31.02215872,45.89239456,6.68727523,53.56783314,5
38,56,25,25.74095321,45.38497051,7.88118645,67.43488235,5
23,45,21,31.46511256,51.79939437,8.985348193,74.44330654,5
29,57,20,25.60973447,50.7330069,5.87707519,53.39249517,5
0,55,25,28.17489437,43.6672299,4.524171562,45.78172762,5
7,45,22,25.50634557,44.8302551,9.926212291,74.32635105,5
17,58,25,31.12896766,43.58788762,6.455592696,32.76742894,5
22,49,22,28.23494706,61.5620517,3.71105919,72.66666443,5
9,51,19,27.04453473,49.32609633,5.49091063,48.25207759,5
28,48,15,25.16125354,55.25435777,9.254089438,40.89732789,5
26,50,19,27.3179125,51.66921088,6.005242945,32.55919573,5
36,56,20,25.4123765,49.66474269,7.437078236,31.87416982,5
8,60,18,31.21629982,46.01868196,3.808429173,53.1205277,5
24,37,21,30.573999,58.22686794,5.818219385,62.74803826,5
22,43,24,25.42517036,53.2208266,4.52363558,46.19374559,5
36,43,24,27.09400578,43.65305437,3.510404312,41.53749535,5
22,44,24,24.30935081,56.32938343,6.030447288,58.99536268,5
17,43,22,30.06142622,45.90067655,5.498340808,41.0550915,5
8,45,15,28.09568993,60.9835384,4.61136408,33.84110759,5
7,56,23,26.33908791,40.00933429,5.545219232,55.50429227,5
36,57,16,28.61409059,57.14218792,8.292875734,57.02891698,5
11,45,19,28.70012137,44.359648,3.828031463,44.11622138,5
6,36,22,24.21610338,59.79236306,8.869532817,42.24783476,5
17,57,20,28.50677929,45.20094476,3.793575185,66.1761456,5
9,49,16,30.88482722,41.36561835,7.661537348,55.053805,5
25,51,24,25.5042419,61.66852372,9.392694614,65.07981523,5
